127.0.0.1, 2014-10-16 15:31:39, GET, /, HTTP/1.1, 303, 0.055180
127.0.0.1, 2014-10-16 15:31:40, GET, /welcome/default/index, HTTP/1.1, 200, 1.181132
127.0.0.1, 2014-10-16 15:32:30, GET, /admin/default/index, HTTP/1.1, 200, 0.623162
127.0.0.1, 2014-10-16 15:32:34, POST, /admin/default/index, HTTP/1.1, 303, 0.176910
127.0.0.1, 2014-10-16 15:32:34, GET, /admin/default/site, HTTP/1.1, 200, 0.162785
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.045762
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.046560
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.044207
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.059686
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.280611
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.325189
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.081100
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.339955
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.072399
127.0.0.1, 2014-10-16 15:32:38, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.345470
127.0.0.1, 2014-10-16 15:32:39, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.453690
127.0.0.1, 2014-10-16 15:32:39, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.114405
127.0.0.1, 2014-10-16 15:32:39, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.332225
127.0.0.1, 2014-10-16 15:32:39, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.060359
